Category,Q1 2018,Q1 2018,Q1 2018,Q1 2018,Q2 2018,Q2 2018,Q2 2018,Q2 2018,Q3 2018,Q3 2018,Q3 2018,Q3 2018,Q4 2018,Q4 2018,Q4 2018,Q4 2018,Q1 2019,Q1 2019,Q1 2019,Q1 2019,Q2 2019,Q2 2019,Q2 2019,Q2 2019,Q3 2019,Q3 2019,Q3 2019,Q3 2019,Q4 2019,Q4 2019,Q4 2019,Q4 2019,Q1 2020,Q1 2020,Q1 2020,Q1 2020,Q2 2020,Q2 2020,Q2 2020,Q2 2020,Q3 2020,Q3 2020,Q3 2020,Q3 2020,Q4 2020,Q4 2020,Q4 2020,Q4 2020
,"Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval","Number of people  (x 1,000)",Percentage of people,"Lower limit, 95% confidence interval","Upper limit, 95% confidence interval"
Canada,"4,178.80",14,12.7,15.4,"4,654.60",15.6,14.2,17,"4,550.50",15.2,13.8,16.6,"4,629.70",15.4,14.1,16.8,"5,306.00",17.5,16.1,19,"4,878.10",16.1,14.6,17.7,"5,197.60",17.1,15.7,18.6,"5,119.40",16.7,15.2,18.4,..,..,..,..,..,..,..,..,..,..,..,..,"6,184.30",20,18.3,21.8
Newfoundland and Labrador,72.3,16.4,12.6,21.1,79.4,18.1,14.1,22.8,71,16.1,12.3,20.9,84.5,19.2,14.3,25.2,81,18.5,14.6,23.2,69.4,15.9,11.9,20.8,106.1,24.2,19.7,29.4,112.9,25.9,20.9,31.5,..,..,..,..,..,..,..,..,..,..,..,..,84.9,19.5,15.2,24.7
Prince Edward Island,17.4,14.1,10.3,18.9,23.7,19.2,14.7,24.8,18.9,15,11,20.1,22.5,17.9,13.6,23.2,19.5,15.4,11.7,19.9,16.8,13.2E,9.5,18.2,33,25.8,20.8,31.6,27,20.9,16.4,26.2,..,..,..,..,..,..,..,..,..,..,..,..,29.3,22.3,17.9,27.4
Nova Scotia,158.1,20,15.5,25.5,165.6,21,17,25.6,181.4,23,18.9,27.6,170.4,21.6,17.2,26.8,144.3,18.2,13.9,23.4,194.5,24.4,19.9,29.5,260.6,32.8,27.2,38.9,222.7,27.5,22.5,33.2,..,..,..,..,..,..,..,..,..,..,..,..,223.2,27.3,22.1,33.3
New Brunswick,88.9,14.3,10.3,19.5,107,17.3,13.4,21.9,85.8,13.8,10.4,18.2,117.4,18.9,14.2,24.5,113.9,18.2,14.2,23.1,129.9,20.7,15.7,26.8,148.5,23.7,19.1,29,115.1,18.4,14.2,23.6,..,..,..,..,..,..,..,..,..,..,..,..,115.3,18.2,14,23.3
Quebec,712,10.4,8.2,13,727.6,10.6,8.3,13.3,703,10.1,7.7,13.3,939.6,13.6,10.9,16.8,770.5,11,8.8,13.8,713.6,10.3,7.9,13.3,803.8,11.5,9.1,14.5,"1,003.10",14.3,11.6,17.4,..,..,..,..,..,..,..,..,..,..,..,..,748.9,10.6,8.3,13.3
Ontario,"1,583.30",13.5,11.2,16.3,"2,075.20",17.8,15.1,20.8,"1,779.30",15.1,12.6,18,"1,826.10",15.4,13.1,18.1,"2,388.90",20,17.2,23.2,"2,000.90",16.8,14,19.9,"2,022.90",16.9,14.4,19.8,"1,970.30",16.3,13.4,19.8,..,..,..,..,..,..,..,..,..,..,..,..,"2,828.00",23.1,19.8,26.7
Manitoba,168.5,16.6,13,21,153.4,15.1,11.5,19.6,190.5,18.9,14.5,24.2,154.9,15.1,11.6,19.5,132.6,13,9.7,17.2,178.6,17.6,13.8,22.1,178,17.3,13.3,22.2,178,17.3,13.2,22.2,..,..,..,..,..,..,..,..,..,..,..,..,233.6,22.4,18,27.7
Saskatchewan,132.4,15.1,11.8,19.2,86.9,9.9,7.2,13.4,137.8,15.7,11.6,20.9,144.7,16.5,12.9,20.8,138.2,15.7,12.5,19.4,130.4,14.8,11.2,19.5,152.1,17.2,13.5,21.7,128,14.4,11,18.6,..,..,..,..,..,..,..,..,..,..,..,..,124.3,13.9,10.2,18.7
